player	player_id	position	team_name	player_game_count	avg_depth_of_target	avoided_tackles	caught_percent	contested_catch_rate	contested_receptions	contested_targets	declined_penalties	drop_rate	drops	first_downs	franchise_id	fumbles	grades_hands_drop	grades_hands_fumble	grades_offense	grades_pass_block	grades_pass_route	inline_rate	inline_snaps	interceptions	longest	pass_block_rate	pass_blocks	pass_plays	penalties	receptions	route_rate	routes	slot_rate	slot_snaps	targeted_qb_rating	targets	touchdowns	wide_rate	wide_snaps	yards	yards_after_catch	yards_after_catch_per_reception	yards_per_reception	yprr
Quian Williams	61237	WR	BUFFALO	13	11.6	9	60.8	28.6	6	21	0	1.6	1	40	126	2	86	46.5	69.3		68.6	0	0	3	59	0	0	462	2	62	95.2	440	36.1	167	86.3	102	5	63.9	295	721	218	3.5	11.6	1.64
Tyler Hudson	102567	WR	LOUISVILLE	12	12.5	11	67.6	64.3	18	28	0	4.2	3	47	210	1	84.4	32.5	79.4		81.3	0	0	3	54	0	0	392	6	69	93.6	367	8.4	33	95	102	2	91.6	359	1034	335	4.9	15	2.82
J.Michael Sturdivant	146288	WR	CAL	12	10.7	6	63.7	47.4	9	19	0	14.5	11	36	130	0	46.6	75.4	69.8		70.6	0	0	2	48	0	0	459	1	65	94.6	434	34.2	157	100.7	102	7	65.8	302	755	300	4.6	11.6	1.74
Derwin Burgess Jr.	147111	WR	GA SOUTHRN	10	11.9	6	57.4	52.4	11	21	0	6.5	4	39	174	0	73.9	74.9	64.9		65.1	0	0	6	53	0	0	459	4	58	95	436	17.6	81	77.9	101	7	82.1	377	717	236	4.1	12.4	1.64
Malik Washington	97108	WR	NWESTERN	12	9.2	24	64.4	40	10	25	0	1.5	1	31	256	2	90.7	34.7	71.1		73.2	0.5	2	6	49	0	0	406	1	65	95.8	389	77.8	316	63.2	101	1	21.2	86	701	347	5.3	10.8	1.8
LaJohntay Wester	123616	WR	FAU	12	10.3	12	61.4	42.9	9	21	1	8.8	6	33	165	1	66.4	71.1	70	63.1	70	0.2	1	3	42	0.2	1	403	5	62	96	387	90.8	366	96.9	101	8	8.7	35	718	299	4.8	11.6	1.86
Michael Mayer	122906	TE	NOTRE DAME	12	8.1	12	66.3	65.4	17	26	1	5.6	4	44	258	1	77.7	54.1	92.5	52.8	91.6	39.9	143	4	37	3.4	12	358	2	67	92.5	331	45	161	103.9	101	9	14.2	51	809	325	4.9	12.1	2.44
Elijhah Badger	131603	WR	ARIZONA ST	12	10.2	25	70	53.3	8	15	1	6.7	5	41	110	1	74.2	54.4	76.1		77.3	0	0	1	39	0	0	403	4	70	94.5	381	24.3	98	115.5	100	7	75.7	305	863	345	4.9	12.3	2.27
Jalen Wayne	61640	WR	S ALABAMA	13	14	6	57	23.1	3	13	1	10.9	7	42	288	0	59.3	74.4	69.2	61	69.5	0	0	6	64	0.2	1	450	3	57	96	432	18.9	85	88.4	100	9	81.1	365	812	287	5	14.2	1.88
Malik Nabers	146759	WR	LSU	14	11.8	21	72	61.9	13	21	0	5.3	4	50	211	1	79.4	56.6	77.5	63.6	77.5	0	0	2	75	0.2	1	447	1	72	93.1	416	39.8	178	106.1	100	3	60.2	269	1017	418	5.8	14.1	2.44
Javon Baker	123904	WR	UCF	14	13.4	11	56	52.4	11	21	0	12.5	8	40	323	0	50.7	74.9	72.4		71.9	0.2	1	1	53	0	0	417	1	56	94	392	11	46	94.4	100	5	88.7	370	796	225	4	14.2	2.03
Evan Stewart	158674	WR	TEXAS A&M	10	11.5	10	53.5	33.3	8	24	0	14.5	9	29	312	1	48.8	49.3	68.9		68.7	0	0	4	43	0	0	385	1	53	94.8	365	11.2	43	63.7	99	2	88.8	342	643	156	2.9	12.1	1.76
Sam Wiglusz	88315	WR	OHIO	14	9.7	8	74.5	53.8	7	13	0	6.4	5	41	259	0	75.2	81.7	80.5	76.2	81.9	0	0	1	75	0.5	2	409	0	73	95.1	389	94.4	386	135.3	98	11	5.6	23	893	353	4.8	12.2	2.3
Smoke Harris	78918	WR	LA TECH	12	4.5	25	67.3	38.5	5	13	0	13.2	10	26	208	1	53.3	71.3	63.3	68.1	65.5	1	4	3	74	0.3	1	395	2	66	93.4	369	88.1	348	88.8	98	5	7.3	29	620	526	8	9.4	1.68
